"WEEK","ITEM_CODE","TOTAL_UNIT_SALES","TOTAL_VALUE_SALES","TOTAL_UNIT_AVG_WEEKLY_SALES","REGION"
"05-22","7501071900143","56.0460","2089.0020","22.0570",TOTAL AUTOS SCANNING MEXICO
"05-22","7501126570598","0.0070","0.8560","1.1670",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071903427","0.0970","0.7020","7.4620",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071900112","5.2250","28.5350","21.9540",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071902956","17.8590","867.5520","14.1520",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071903304","2.7860","36.3620","4.7540",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071903359","0.0010","0.0110","1.0000",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071900129","68.8140","774.9530","26.8810",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071906725","0.6950","37.2890","2.4910",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071907074","7.1330","75.8050","14.2090",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071906701","2.0560","48.8910","3.4910",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071906718","2.8950","88.9890","2.6690",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071904103","0.2850","6.0070","4.9140",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071902093","1.6160","87.1880","4.6300",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071903885","1.6890","90.7160","5.9040",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071902109","4.2710","440.5470","3.8820",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071904431","26.4710","286.8200","27.8940",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071902314","0.5180","7.1120","6.4750",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071904424","10.6970","251.5160","7.7120",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071903878","3.2810","101.5420","6.4340",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071902086","11.2020","338.6950","6.4900",TOTAL AUTOS SCANNING MEXICO
"05-22","7501071906800","0.0060","0.2550","3.0000",TOTAL AUTOS SCANNING MEXICO
"05-22","7702137007152","2.4500","147.2240","2.5310",TOTAL AUTOS SCANNING MEXICO
"05-22","7702137007169","0.4650","28.4760","1.7750",TOTAL AUTOS SCANNING MEXICO
"05-22","4008455425412","4.6040","255.5140","6.1630",TOTAL AUTOS SCANNING MEXICO
"12-22","7501025401849","0.2140","6.6300","4.1150",TOTAL AUTOS AREA 3
"12-22","7501025401856","0.3590","16.0490","2.0060",TOTAL AUTOS AREA 3
"12-22","7501025401917","0.2050","14.4670","3.0600",TOTAL AUTOS AREA 3
"12-22","7501025401887","0.0030","0.0390","1.5000",TOTAL AUTOS AREA 3
"12-22","7501025401894","0.1680","5.2560","3.7330",TOTAL AUTOS AREA 3
"12-22","7501025401900","0.4280","18.9510","2.4880",TOTAL AUTOS AREA 3
"12-22","7501025405885","0.1400","3.6370","2.7450",TOTAL AUTOS AREA 3
"12-22","7501025401801","4.4970","76.9120","17.6370",TOTAL AUTOS AREA 3
"12-22","7501025405090","10.3920","181.7930","26.4440",TOTAL AUTOS AREA 3
"12-22","7501025401795","3.8820","99.8480","15.9740",TOTAL AUTOS AREA 3
"12-22","7501025405212","6.9090","175.2090","25.0320",TOTAL AUTOS AREA 3
"12-22","7501021160726","0.0140","0.6010","3.5000",TOTAL AUTOS AREA 3
"12-22","7501021160719","0.3680","19.9110","3.9570",TOTAL AUTOS AREA 3
"12-22","7501681100650BP1","0.1200","1.6240","7.0590",TOTAL AUTOS AREA 3
"12-22","7501681100421","0.2700","4.0630","7.9410",TOTAL AUTOS AREA 3
"12-22","7501681100674","0.0270","1.6370","2.7000",TOTAL AUTOS AREA 3
"12-22","7501681100254","0.0230","0.3790","3.2860",TOTAL AUTOS AREA 3
"12-22","7501681100469","1.3630","21.7740","12.8580",TOTAL AUTOS AREA 3
"12-22","7501681100513","0.2500","3.7340","6.2500",TOTAL AUTOS AREA 3
"12-22","7501681100643BP1","0.1360","1.7810","6.4760",TOTAL AUTOS AREA 3
"12-22","7501681100292","0.4710","13.6080","4.6180",TOTAL AUTOS AREA 3
"12-22","7501681100384","0.7540","9.6950","13.0000",TOTAL AUTOS AREA 3
"12-22","7501681100773","1.0510","19.4240","6.5280",TOTAL AUTOS AREA 3
"12-22","7501681100087","0.0100","0.3390","10.0000",TOTAL AUTOS AREA 3
"12-22","7501681100438","0.2670","7.3860","3.7610",TOTAL AUTOS AREA 3
"12-22","7501681100766","0.1170","3.2680","4.6800",TOTAL AUTOS AREA 3
"12-22","7501681100445","0.0140","0.3500","3.5000",TOTAL AUTOS AREA 3
"12-22","7501681100223","2.4000","78.8330","14.2860",TOTAL AUTOS AREA 3
"12-22","7501681100650BP2","0.1200","0.7640","7.0590",TOTAL AUTOS AREA 3
"12-22","7501681100643BP2","0.1360","0.8770","6.4760",TOTAL AUTOS AREA 3
"12-22","7501681100018","0.6050","4.9010","605.0000",TOTAL AUTOS AREA 3
"12-22","7501681101299","0.0480","0.7190","2.4000",TOTAL AUTOS AREA 3
"12-22","7501026030109","0.0010","0.0150","1.0000",TOTAL AUTOS AREA 3
"12-22","7503025939353","0.0200","1.0000","2.0000",TOTAL AUTOS AREA 3
"12-22","0612464080148","0.0290","0.4830","2.9000",TOTAL AUTOS AREA 3
"12-22","7502283280818","0.0010","0.0950","1.0000",TOTAL AUTOS AREA 3
"12-22","0037000018704","0.0290","2.6890","2.6360",TOTAL AUTOS AREA 3
"12-22","7501058717115","0.0230","2.1860","1.2820",TOTAL AUTOS AREA 3
"12-22","7501058795892","0.0880","10.9160","1.8720",TOTAL AUTOS AREA 3
"12-22","7501058717122","0.0200","3.3890","1.5380",TOTAL AUTOS AREA 3
"12-22","7501058795908","0.0830","21.2800","1.7660",TOTAL AUTOS AREA 3
"12-22","7501058717252","0.0680","3.0090","1.5110",TOTAL AUTOS AREA 3
"12-22","7501058716798","0.5020","74.4160","4.2180",TOTAL AUTOS AREA 3
"12-22","7501058794956BP1","0.0250","3.3260","2.7780",TOTAL AUTOS AREA 3
"12-22","7501058717030","6.1510","130.4000","24.7030",TOTAL AUTOS AREA 3
"12-22","7501058794949BP2","0.0440","0.9040","3.1430",TOTAL AUTOS AREA 3
"12-22","7501058796578BP2","0.0520","2.5640","3.0590",TOTAL AUTOS AREA 3
"12-22","7501058717016","0.0040","0.0800","4.0000",TOTAL AUTOS AREA 3
"12-22","7501058753458","3.4920","71.1760","12.3830",TOTAL AUTOS AREA 3
"12-22","7501058792778BP2","0.0260","0.6010","1.6250",TOTAL AUTOS AREA 3
"12-22","7501058715890","0.1840","43.3200","2.2720",TOTAL AUTOS AREA 3
"12-22","7702626213781","0.4550","21.4550","3.7920",TOTAL AUTOS AREA 3
"12-22","7501058715098","0.0020","0.0590","2.0000",TOTAL AUTOS AREA 3
"12-22","7501058757890","1.0950","93.6450","3.7380",TOTAL AUTOS AREA 3
"12-22","7501058716071","0.0280","3.4770","1.7500",TOTAL AUTOS AREA 3
"12-22","7501058757449","0.2750","47.8040","2.3710",TOTAL AUTOS AREA 3
"44-22","7501025401917","0.2860","18.8710","2.4480",TOTAL AUTOS AREA 2
"44-22","7501025401887","0.1030","2.2710","3.0290",TOTAL AUTOS AREA 2
"44-22","7501025401894","0.1550","5.3050","2.6720",TOTAL AUTOS AREA 2
"44-22","7501025401900","0.7720","32.4190","2.7560",TOTAL AUTOS AREA 2
"44-22","7501025405885","0.5130","14.1070","3.8000",TOTAL AUTOS AREA 2
"44-22","7501025401801","12.8490","227.0730","26.6580",TOTAL AUTOS AREA 2
"44-22","7501025405090","19.8870","345.2920","31.9730",TOTAL AUTOS AREA 2
"44-22","7501025401795","7.1190","194.3200","15.5100",TOTAL AUTOS AREA 2
"44-22","7501025405212","9.9270","271.0860","17.7590",TOTAL AUTOS AREA 2
"44-22","7501021160726","0.2670","11.6690","6.0680",TOTAL AUTOS AREA 2
"44-22","7501021160719","0.4160","22.7400","2.4760",TOTAL AUTOS AREA 2
"44-22","7501681100650BP1","1.5180","25.3670","13.2000",TOTAL AUTOS AREA 2
"44-22","7501681100421","0.5520","10.0670","8.2390",TOTAL AUTOS AREA 2
"44-22","7501681100674","0.0340","2.0560","3.0910",TOTAL AUTOS AREA 2
"44-22","7501681100254","1.0110","17.8220","8.3550",TOTAL AUTOS AREA 2
"44-22","7501681100469","0.6640","11.8920","5.8760",TOTAL AUTOS AREA 2
"45-22","7501025402242","12.9280","455.2100","9.7790",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025402990","0.0020","0.0440","2.0000",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025408404","0.7740","77.3230","8.7950",TOTAL AUTOS SCANNING MEXICO
"45-22","7501205412122","10.2790","262.2830","9.2600",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025406561","21.2550","516.1970","15.2690",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025412135","4.3740","197.1190","4.8120",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025406578","13.0030","517.8520","15.4430",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025412104","10.3680","179.0240","9.2570",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025412784","10.5190","249.4860","7.1900",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025400941","0.0200","0.5880","4.0000",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025412357","5.1330","213.3610","9.5590",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025405816","2.2120","34.5630","14.1790",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401306","0.4360","54.7000","5.7370",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025405311","10.2930","170.1220","29.5790",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401535","0.0010","0.0140","1.0000",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025450212","56.5210","1368.2710","132.0580",TOTAL AUTOS SCANNING MEXICO
"45-22","0000075000622","263.5520","6116.9360","96.5750",TOTAL AUTOS SCANNING MEXICO
"45-22","0000075000592","0.0340","0.1420","8.5000",TOTAL AUTOS SCANNING MEXICO
"45-22","0000075000639","182.7550","7235.2070","60.3150",TOTAL AUTOS SCANNING MEXICO
"45-22","0000075000608","4.4010","41.8800","40.3760",TOTAL AUTOS SCANNING MEXICO
"45-22","0000075000615","279.4120","3947.0280","93.3550",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025411893","6.6330","270.7530","5.5830",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025412005","9.1400","776.6440","6.6470",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025409470","0.4670","28.5130","3.5650",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025412012","0.3350","34.2800","5.6780",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025411992","31.2370","737.9110","13.4300",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401948","13.6510","339.3200","13.2660",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025405106","33.0830","1088.3670","14.0300",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401313","9.1240","419.5400","11.0730",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401931","21.7420","280.3300","37.8120",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025405151","60.9170","1149.2000","21.8580",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401863","2.9590","193.2680","2.9160",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401832","3.0210","60.2640","5.0610",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401849","0.6030","21.2100","2.4710",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401856","3.6140","147.0810","2.7360",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401917","1.3440","89.5260","2.7430",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401887","0.3490","7.2820","3.3840",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401894","0.4780","16.7200","2.2340",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401900","2.9520","122.2510","2.4500",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025405885","2.9070","80.5120","3.4360",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025400415","0.0030","0.0230","1.5000",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401801","35.5980","653.2840","20.3180",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025405090","69.5910","1250.6280","26.6840",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401795","26.0330","716.9100","14.6090",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025405212","48.4060","1316.1920","21.1660",TOTAL AUTOS SCANNING MEXICO
"45-22","7501025401252","2.6420","29.5780","50.8080",TOTAL AUTOS SCANNING MEXICO
"45-22","7501021160726","0.2800","12.2230","5.4900",TOTAL AUTOS SCANNING MEXICO
"45-22","7501021160719","2.0540","120.7110","3.7970",TOTAL AUTOS SCANNING MEXICO
"45-22","7501681100650BP1","6.3310","106.4240","10.5520",TOTAL AUTOS SCANNING MEXICO
"45-22","7501681100421","2.8380","52.0270","8.0630",TOTAL AUTOS SCANNING MEXICO
"45-22","7501681100674","0.5400","38.2380","3.3130",TOTAL AUTOS SCANNING MEXICO
"45-22","7501681100254","2.9150","50.0970","7.1980",TOTAL AUTOS SCANNING MEXICO
"44-22","7501681100513","1.5290","11.5620","20.1180",TOTAL AUTOS AREA 2
"44-22","7501681100643BP1","1.6280","26.4340","11.9710",TOTAL AUTOS AREA 2
"44-22","7501681100292","0.9720","28.6940","5.0890",TOTAL AUTOS AREA 2
"44-22","7501681100384","0.0250","0.3450","5.0000",TOTAL AUTOS AREA 2
"44-22","7501681100773","5.4920","101.3600","26.2780",TOTAL AUTOS AREA 2
"44-22","7501681100209","1.4770","47.7280","19.6930",TOTAL AUTOS AREA 2
"44-22","7501681100216","1.2390","40.0240","16.9730",TOTAL AUTOS AREA 2
"44-22","7501681100087","1.0190","32.9560","13.5870",TOTAL AUTOS AREA 2
"44-22","7501681100438","0.0460","0.8560","5.1110",TOTAL AUTOS AREA 2
"44-22","7501681100766","0.7200","25.0030","5.8060",TOTAL AUTOS AREA 2
"44-22","7501681100445","0.1060","2.7490","3.6550",TOTAL AUTOS AREA 2
"44-22","7501681100223","3.4120","117.5190","12.4530",TOTAL AUTOS AREA 2
"44-22","7501681100650BP2","1.5180","11.9370","13.2000",TOTAL AUTOS AREA 2
"44-22","7501681100643BP2","1.6280","13.0200","11.9710",TOTAL AUTOS AREA 2
"44-22","7501681101299","0.0480","0.5040","12.0000",TOTAL AUTOS AREA 2
"44-22","7503031116083","0.1390","3.0160","1.9860",TOTAL AUTOS AREA 2
"44-22","7503544040257","0.0190","0.9920","9.5000",TOTAL AUTOS AREA 2
"44-22","7502267450312","0.0080","0.2400","4.0000",TOTAL AUTOS AREA 2
"44-22","7503025939353","0.0790","4.2710","4.6470",TOTAL AUTOS AREA 2
"44-22","0612464080148","0.0110","0.1500","3.6670",TOTAL AUTOS AREA 2
"44-22","7502283280818","0.0060","0.3280","2.0000",TOTAL AUTOS AREA 2
"44-22","0037000018704","0.0220","1.4780","2.2000",TOTAL AUTOS AREA 2
"44-22","7501042306561","0.0130","1.0110","1.0830",TOTAL AUTOS AREA 2
"44-22","7501042301733","2.5150","52.5950","33.9850",TOTAL AUTOS AREA 2
"44-22","7501042301764","0.7930","25.2820","14.9620",TOTAL AUTOS AREA 2
"44-22","7501042301771","0.6250","20.3100","12.2550",TOTAL AUTOS AREA 2
"44-22","7501042301788","0.0010","0.0330","1.0000",TOTAL AUTOS AREA 2
"44-22","7501042301740","5.4550","173.6990","64.9430",TOTAL AUTOS AREA 2
"44-22","7501042301757","0.9370","12.5290","19.1290",TOTAL AUTOS AREA 2
"44-22","7501042300033","0.5140","6.6200","10.7020",TOTAL AUTOS AREA 2
"44-22","7501058717115","0.0160","1.7000","1.1430",TOTAL AUTOS AREA 2
"44-22","7501058795892","0.2120","23.4630","1.8100",TOTAL AUTOS AREA 2
"44-22","7501058717276","0.0630","6.8320","1.6580",TOTAL AUTOS AREA 2
"44-22","7501058717122","0.0190","2.4930","1.4620",TOTAL AUTOS AREA 2
"44-22","7501058795908","0.0910","24.4770","1.6850",TOTAL AUTOS AREA 2
"44-22","7501058717252","0.1530","8.3100","1.8460",TOTAL AUTOS AREA 2
"44-22","7501058716798","0.4120","57.6640","2.4520",TOTAL AUTOS AREA 2
"44-22","7501058794956BP1","0.0010","0.0530","1.0000",TOTAL AUTOS AREA 2
"44-22","7501058717030","4.7380","112.8460","19.1050",TOTAL AUTOS AREA 2
"44-22","7501058794949BP2","0.0240","0.1970","8.0000",TOTAL AUTOS AREA 2
"44-22","7501058796578BP2","0.3870","19.9090","3.1430",TOTAL AUTOS AREA 2
"44-22","7501058753458","4.3340","107.5070","8.9360",TOTAL AUTOS AREA 2
"44-22","7501058792778BP2","0.0010","0.0090","1.0000",TOTAL AUTOS AREA 2
"44-22","7501058794963BP2","0.0010","0.0090","1.0000",TOTAL AUTOS AREA 2
"44-22","7501058715890","0.1720","40.6820","1.5090",TOTAL AUTOS AREA 2
"44-22","7702626213781","1.7060","96.8450","3.9670",TOTAL AUTOS AREA 2
"44-22","7501058715098","0.0010","0.0500","1.0000",TOTAL AUTOS AREA 2
"44-22","7501058757890","1.4090","142.3960","3.2240",TOTAL AUTOS AREA 2
"44-22","7501058716071","0.0150","1.9090","2.5000",TOTAL AUTOS AREA 2
"44-22","7501058757449","0.6990","108.3210","3.0520",TOTAL AUTOS AREA 2
"44-22","7501058716804","0.4720","40.7450","2.8240",TOTAL AUTOS AREA 2
"44-22","7501058715531","0.6100","9.0570","5.0830",TOTAL AUTOS AREA 2
"44-22","7501058716767","0.6900","97.1680","3.6130",TOTAL AUTOS AREA 2
"44-22","7501058794949BP1","0.0240","1.3160","8.0000",TOTAL AUTOS AREA 2
"44-22","7501058717023","6.8110","160.6700","27.3530",TOTAL AUTOS AREA 2
"44-22","7501058794956BP2","0.0010","0.0100","1.0000",TOTAL AUTOS AREA 2
"44-22","7501058796578BP1","0.3870","19.9090","3.1430",TOTAL AUTOS AREA 2
"44-22","7501058796585","0.3220","35.7140","3.4260",TOTAL AUTOS AREA 2
"44-22","7501058716453","0.0010","0.0680","1.0000",TOTAL AUTOS AREA 2
"44-22","7503002319536","1.0360","113.0950","3.4780",TOTAL AUTOS AREA 2
"44-22","7501058716088","0.0640","11.0480","1.3910",TOTAL AUTOS AREA 2
"44-22","7501058757791","0.8290","148.0590","3.3030",TOTAL AUTOS AREA 2
"44-22","7501058752772","0.4610","10.5860","10.2460",TOTAL AUTOS AREA 2
"44-22","7501058716477","0.5030","12.7480","10.9450",TOTAL AUTOS AREA 2
"44-22","7501058757548","3.2840","121.9140","9.8630",TOTAL AUTOS AREA 2
"44-22","7503002319529","4.5190","236.3020","7.8870",TOTAL AUTOS AREA 2
"44-22","7501058786548BP1","0.0010","0.0470","1.0000",TOTAL AUTOS AREA 2
"44-22","7501058715883","0.1640","42.4050","1.6400",TOTAL AUTOS AREA 2
"44-22","7501058712813","0.0010","0.0580","1.0000",TOTAL AUTOS AREA 2
"44-22","7702626213774","1.2770","72.0440","3.3080",TOTAL AUTOS AREA 2
"44-22","7501058716422","0.0100","0.7030","1.6670",TOTAL AUTOS AREA 2
"44-22","7501058784353","1.0590","107.3340","2.7810",TOTAL AUTOS AREA 2
"44-22","7501058716064","0.0080","1.0950","1.0000",TOTAL AUTOS AREA 2
"44-22","7501058794963BP1","0.0010","0.0610","1.0000",TOTAL AUTOS AREA 2
"44-22","7501058792778BP1","0.0010","0.0540","1.0000",TOTAL AUTOS AREA 2
"44-22","7501058757630","0.5310","59.2720","3.1060",TOTAL AUTOS AREA 2
"44-22","7501058753441","3.3810","84.8920","6.9710",TOTAL AUTOS AREA 2
"44-22","7702626204208BP1","2.4110","28.6070","15.6560",TOTAL AUTOS AREA 2
"44-22","7501058784346","0.6350","100.3820","2.6470",TOTAL AUTOS AREA 2
"44-22","7501058796868","1.5220","26.3500","22.7160",TOTAL AUTOS AREA 2
"44-22","7501058796844","0.3030","5.8060","13.1560",TOTAL AUTOS AREA 2
"44-22","7891035040276","15.0700","187.1830","25.4140",TOTAL AUTOS AREA 2
"44-22","7501058796851","1.2900","22.4200","18.9710",TOTAL AUTOS AREA 2
"44-22","7501058714596","15.4890","194.5100","25.4750",TOTAL AUTOS AREA 2
"44-22","7501058796837","0.0010","0.0210","1.0000",TOTAL AUTOS AREA 2
"44-22","7501058751188","0.5790","62.5460","2.6540",TOTAL AUTOS AREA 2
"44-22","7501058716095","0.0650","10.2950","1.3830",TOTAL AUTOS AREA 2
"44-22","7501058751461","0.3870","70.1330","2.3600",TOTAL AUTOS AREA 2
"44-22","7501058757463","0.4780","11.1130","9.5690",TOTAL AUTOS AREA 2
"44-22","7501058757555","1.5840","59.4430","6.3370",TOTAL AUTOS AREA 2
"44-22","7501058751195","2.9330","156.0970","5.4920",TOTAL AUTOS AREA 2
"44-22","0046500022692","0.0380","3.0380","2.0000",TOTAL AUTOS AREA 2
"44-22","0046500022517","0.0390","5.0660","3.0000",TOTAL AUTOS AREA 2
"44-22","7501268200001","0.0110","0.1160","5.5000",TOTAL AUTOS AREA 3
"44-22","7501268200025","0.1410","1.5110","10.8460",TOTAL AUTOS AREA 3
"44-22","7501268200049","0.2990","5.9980","6.5000",TOTAL AUTOS AREA 3
"44-22","7501268200070","0.1370","5.2240","5.2690",TOTAL AUTOS AREA 3
"44-22","7501268200261","0.0110","0.6300","2.2000",TOTAL AUTOS AREA 3
"44-22","7501268200513","0.0480","0.5230","6.8570",TOTAL AUTOS AREA 3
